"code commune insee","nom de_la_commune","first_postal","libelle_d_acheminement","ligne_5","_geopoint"
"49113","COURCHAMPS","49260","COURCHAMPS",,"47.195743050000004,-0.16046919999999998"
"49114","COURLEON","49390","COURLEON",,"47.3821789,0.14906815"
"49120","DENEE","49190","DENEE",,"47.377828550000004,-0.6109717"
"49121","DENEZE SOUS DOUE","49700","DENEZE SOUS DOUE",,"47.2523678,-0.2595571"
"49123","DISTRE","49400","DISTRE",,"47.22726795,-0.1217577"
"49125","DOUE EN ANJOU","49700","DOUE EN ANJOU","BRIGNE","47.1987995,-0.30530295"
"49125","DOUE EN ANJOU","49700","DOUE EN ANJOU","CONCOURSON SUR LAYON","47.1987995,-0.30530295"
"49125","DOUE EN ANJOU","49700","DOUE EN ANJOU","DOUE LA FONTAINE","47.1987995,-0.30530295"
"49125","DOUE EN ANJOU","49700","DOUE EN ANJOU","FORGES","47.1987995,-0.30530295"
"49125","DOUE EN ANJOU","49700","DOUE EN ANJOU","LES VERCHERS SUR LAYON","47.1987995,-0.30530295"
"49125","DOUE EN ANJOU","49700","DOUE EN ANJOU","MEIGNE","47.1987995,-0.30530295"
"49125","DOUE EN ANJOU","49700","DOUE EN ANJOU","MONTFORT","47.1987995,-0.30530295"
"49125","DOUE EN ANJOU","49700","DOUE EN ANJOU","ST GEORGES SUR LAYON","47.1987995,-0.30530295"
"49127","DURTAL","49430","DURTAL",,"47.6654049,-0.24565510000000002"
"49129","ECOUFLANT","49000","ECOUFLANT",,"47.5240226,-0.518954"
"49130","ECUILLE","49460","ECUILLE",,"47.61579925,-0.55587165"
"49131","EPIEDS","49260","EPIEDS",,"47.136525250000005,-0.03351245"
"49132","ETRICHE","49330","ETRICHE",,"47.658843250000004,-0.4536304"
"49135","FENEU","49460","FENEU",,"47.5831885,-0.60378155"
"49138","LES BOIS D ANJOU","49250","LES BOIS D ANJOU","BRION","47.45358485,-0.169515"
"49138","LES BOIS D ANJOU","49250","LES BOIS D ANJOU","FONTAINE GUERIN","47.45358485,-0.169515"
"49138","LES BOIS D ANJOU","49250","LES BOIS D ANJOU","ST GEORGES DU BOIS","47.45358485,-0.169515"
"49140","FONTEVRAUD L ABBAYE","49590","FONTEVRAUD L ABBAYE",,"47.1819324,0.026061050000000002"
"49155","GREZ NEUVILLE","49220","GREZ NEUVILLE",,"47.5915516,-0.6863726"
"49160","INGRANDES LE FRESNE SUR LOIRE","49123","INGRANDES LE FRESNE SUR LOIRE","INGRANDES","47.4047982,-0.9287905999999999"
"49160","INGRANDES LE FRESNE SUR LOIRE","49123","INGRANDES LE FRESNE SUR LOIRE","LE FRESNE SUR LOIRE","47.4047982,-0.9287905999999999"
"49160","INGRANDES LE FRESNE SUR LOIRE","49123","INGRANDES LE FRESNE SUR LOIRE","ST SIGISMOND","47.4047982,-0.9287905999999999"
"49161","LA JAILLE YVON","49220","LA JAILLE YVON",,"47.722602499999994,-0.68894945"
"49163","JARZE VILLAGES","49140","JARZE VILLAGES","BEAUVAU","47.5606506,-0.25634645"
"49163","JARZE VILLAGES","49140","JARZE VILLAGES","CHAUMONT D ANJOU","47.5606506,-0.25634645"
"49163","JARZE VILLAGES","49140","JARZE VILLAGES","JARZE","47.5606506,-0.25634645"
"49163","JARZE VILLAGES","49140","JARZE VILLAGES","LUE EN BAUGEOIS","47.5606506,-0.25634645"
"49167","LES GARENNES SUR LOIRE","49320","LES GARENNES SUR LOIRE","ST JEAN DES MAUVRETS","47.3850477,-0.47268645"
"49167","LES GARENNES SUR LOIRE","49610","LES GARENNES SUR LOIRE","JUIGNE SUR LOIRE","47.3850477,-0.47268645"
"49170","JUVARDEIL","49330","JUVARDEIL",,"47.661074400000004,-0.5144954"
"49171","LA LANDE CHASLES","49150","LA LANDE CHASLES",,"47.460719,-0.07017699999999999"
"49174","HUILLE LEZIGNE","49430","HUILLE LEZIGNE","HUILLE","47.65122915,-0.29337979999999997"
"49174","HUILLE LEZIGNE","49430","HUILLE LEZIGNE","LEZIGNE","47.65122915,-0.29337979999999997"
"49176","LE LION D ANGERS","49220","LE LION D ANGERS",,"47.634007249999996,-0.751735"
"49176","LE LION D ANGERS","49220","LE LION D ANGERS","ANDIGNE","47.634007249999996,-0.751735"
"49178","LOIRE","49440","LOIRE",,"47.626948,-0.9678781000000001"
"49180","LONGUE JUMELLES","49160","LONGUE JUMELLES",,"47.396052850000004,-0.10917415"
"49180","LONGUE JUMELLES","49160","LONGUE JUMELLES","JUMELLES","47.396052850000004,-0.10917415"
"49182","LOURESSE ROCHEMENIER","49700","LOURESSE ROCHEMENIER",,"47.24942505,-0.3123483"
"49183","VAL D ERDRE AUXENCE","49370","VAL D ERDRE AUXENCE","LE LOUROUX BECONNAIS","47.50491105,-0.9373581"
"49183","VAL D ERDRE AUXENCE","49370","VAL D ERDRE AUXENCE","VILLEMOISAN","47.50491105,-0.9373581"
"49183","VAL D ERDRE AUXENCE","49440","VAL D ERDRE AUXENCE","LA CORNUAILLE","47.50491105,-0.9373581"
"49188","MARCE","49140","MARCE",,"47.58253535,-0.29933535"
"49192","MAULEVRIER","49360","MAULEVRIER",,"47.015942800000005,-0.7661803"
"49193","LE MAY SUR EVRE","49122","LE MAY SUR EVRE",,"47.13035885,-0.875741"
"49194","MAZE MILON","49140","MAZE MILON","FONTAINE MILON","47.47129195,-0.2785338"
"49194","MAZE MILON","49630","MAZE MILON","MAZE","47.47129195,-0.2785338"
"49195","MAZIERES EN MAUGES","49280","MAZIERES EN MAUGES",,"47.06058845,-0.79671685"
"49200","LONGUENEE EN ANJOU","49220","LONGUENEE EN ANJOU","PRUILLE","47.5523428,-0.67966465"
"49200","LONGUENEE EN ANJOU","49770","LONGUENEE EN ANJOU","LA MEIGNANNE","47.5523428,-0.67966465"
"49200","LONGUENEE EN ANJOU","49770","LONGUENEE EN ANJOU","LA MEMBROLLE SUR LONGUENEE","47.5523428,-0.67966465"
"49200","LONGUENEE EN ANJOU","49770","LONGUENEE EN ANJOU","LE PLESSIS MACE","47.5523428,-0.67966465"
"49201","LA MENITRE","49250","LA MENITRE",,"47.40991835,-0.25652775"
"49205","MIRE","49330","MIRE",,"47.7642075,-0.49307315"
"49209","MONTIGNE LES RAIRIES","49430","MONTIGNE LES RAIRIES",,"47.62682735,-0.21295005"
"49211","MONTILLIERS","49310","MONTILLIERS",,"47.18043685,-0.51856275"
"49214","MONTREUIL JUIGNE","49460","MONTREUIL JUIGNE",,"47.545125,-0.617814"
"49214","MONTREUIL JUIGNE","49460","MONTREUIL JUIGNE","JUIGNE BENE","47.545125,-0.617814"
"49215","MONTREUIL BELLAY","49260","MONTREUIL BELLAY",,"47.1294937,-0.124587"
"49215","MONTREUIL BELLAY","49260","MONTREUIL BELLAY","MERON","47.1294937,-0.124587"
"49216","MONTREUIL SUR LOIR","49140","MONTREUIL SUR LOIR",,"47.59718595,-0.39360019999999996"
